data_ID, Condition, Dimension, Video_ID
_ocji3gb6z, Sample, arousal, undefined
Timestamp,Rating
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,-1
10.5,-1
10.75,-1
11,-1
11.25,-1
11.5,-1
11.75,-1
12,-1
12.25,-1
12.5,-1
12.75,-1
13,-1
13.25,-1
13.5,-1
13.75,-1
14,-1
14.25,-1
14.5,-1
14.75,-1
15,-1
15.25,-1
15.5,-1
15.75,-1
16,-1
16.25,-1
16.5,-1
16.75,-1
17,-1
17.25,-1
17.5,-1
17.75,-1
18,-1
18.25,-1
18.5,-1
18.75,-1
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,-1
23.5,-1
23.75,-1
24,-1
24.25,-1
24.5,-1
24.75,-1
25,-1
25.25,-1
25.5,-1
25.75,-1
26,-1
26.25,-1
26.5,-1
26.75,-1
27,-1
27.25,-1
27.5,-1
27.75,-1
28,-1
28.25,-1
28.5,-1
28.75,-1
29,-1
29.25,-1
29.5,-1
29.75,-1
30,-2
30.25,-2
30.5,-2
30.75,-2
31,-2
31.25,-2
31.5,-2
31.75,-2
32,-2
32.25,-2
32.5,-2
32.75,-2
33,-2
33.25,-2
33.5,-2
