data_ID, Condition, Dimension, Video_ID
_h9ylz5gci, Generative, valence, Generative_3
Timestamp,Rating
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,1
4.75,1
5,1
5.25,1
5.5,1
5.75,1
6,2
6.25,2
6.5,2
6.75,2
7,2
7.25,2
7.5,2
7.75,2
8,3
8.25,4
8.5,4
8.75,4
9,4
9.25,4
9.5,5
9.75,5
10,6
10.25,6
10.5,6
10.75,6
11,6
11.25,6
11.5,6
11.75,6
12,7
12.25,7
12.5,8
12.75,9
13,10
13.25,11
13.5,12
13.75,13
14,14
14.25,15
14.5,16
14.75,17
15,17
15.25,16
15.5,16
15.75,15
16,14
16.25,15
16.5,15
16.75,16
17,17
17.25,18
17.5,19
17.75,20
18,21
18.25,22
18.5,22
18.75,22
19,22
19.25,22
19.5,22
19.75,22
20,22
20.25,22
20.5,22
20.75,22
21,22
21.25,22
21.5,22
21.75,22
22,22
22.25,22
22.5,22
22.75,22
23,22
23.25,22
23.5,22
23.75,22
24,22
24.25,22
24.5,22
24.75,22
25,22
25.25,22
25.5,22
25.75,22
26,22
26.25,22
26.5,22
26.75,22
27,22
27.25,22
27.5,22
27.75,22
28,22
28.25,22
28.5,22
28.75,22
29,22
29.25,22
29.5,22
29.75,22
30,22
30.25,22
30.5,22
30.75,22
31,22
31.25,22
31.5,23
31.75,23
32,24
32.25,25
32.5,26
32.75,27
33,28
33.25,28
33.5,28
33.75,28
34,28
34.25,28
34.5,28
34.75,28
35,29
35.25,29
35.5,30
35.75,31
36,32
36.25,33
36.5,34
36.75,35
37,36
37.25,37
37.5,37
37.75,37
38,37
38.25,37
38.5,37
38.75,37
39,37
39.25,37
39.5,37
39.75,37
40,37
40.25,37
40.5,37
40.75,37
41,37
41.25,37
41.5,37
41.75,37
42,37
42.25,37
42.5,37
42.75,37
43,37
43.25,37
43.5,37
43.75,37
44,37
44.25,37
44.5,37
44.75,37
45,37
45.25,37
45.5,37
45.75,37
46,37
46.25,37
46.5,37
46.75,37
47,37
47.25,37
47.5,37
47.75,37
48,37
48.25,37
48.5,37
48.75,37
49,37
49.25,37
49.5,37
49.75,37
50,37
50.25,37
50.5,37
50.75,37
51,37
51.25,37
51.5,37
51.75,37
52,37
52.25,37
52.5,37
52.75,37
53,37
53.25,37
53.5,37
53.75,37
54,37
54.25,37
54.5,37
54.75,37
55,37
55.25,37
55.5,37
55.75,37
56,37
56.25,37
56.5,37
56.75,37
57,37
57.25,37
57.5,38
57.75,38
58,39
58.25,40
58.5,41
58.75,41
59,41
59.25,41
59.5,41
59.75,41
60,41
60.25,41
60.5,41
60.75,41
61,41
61.25,41
61.5,41
61.75,41
62,41
62.25,41
62.5,41
62.75,41
63,41
63.25,41
63.5,41
63.75,41
64,41
64.25,41
64.5,41
64.75,41
65,41
65.25,41
65.5,41
65.75,41
66,41
66.25,41
66.5,41
66.75,41
67,41
67.25,41
67.5,41
67.75,41
68,41
68.25,41
68.5,41
68.75,41
69,41
69.25,41
69.5,41
69.75,41
70,41
70.25,41
70.5,41
70.75,41
71,41
71.25,41
71.5,41
71.75,41
72,41
72.25,41
72.5,41
72.75,41
73,41
73.25,41
73.5,41
73.75,41
74,41
74.25,40
74.5,40
74.75,39
75,38
75.25,38
75.5,39
75.75,39
76,40
76.25,41
76.5,42
76.75,43
77,44
77.25,45
77.5,46
77.75,46
78,46
78.25,46
78.5,46
78.75,47
79,47
79.25,48
79.5,49
79.75,50
80,51
80.25,52
80.5,52
80.75,52
81,52
81.25,52
81.5,52
81.75,52
82,52
82.25,52
82.5,52
82.75,52
83,52
83.25,52
83.5,52
83.75,53
84,53
84.25,54
84.5,55
84.75,56
85,57
85.25,58
85.5,59
85.75,60
86,61
86.25,62
86.5,63
86.75,64
87,65
87.25,65
87.5,65
87.75,65
88,65
88.25,65
88.5,65
88.75,65
89,65
89.25,65
89.5,65
89.75,65
90,65
90.25,65
90.5,65
90.75,64
91,64
91.25,64
91.5,64
91.75,64
92,64
92.25,64
92.5,64
92.75,64
93,64
93.25,64
93.5,64
