data_ID, Condition, Dimension, Video_ID
_ocji3gb6z, Adaptive, arousal, Adaptive_3
Timestamp,Rating
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,-1
17.75,-1
18,-1
18.25,-1
18.5,-1
18.75,-1
19,-1
19.25,-1
19.5,-1
19.75,-1
20,-1
20.25,-1
20.5,-1
20.75,-1
21,-1
21.25,-1
21.5,-1
21.75,-1
22,-1
22.25,-1
22.5,-1
22.75,-1
23,-1
23.25,-1
23.5,-1
23.75,-1
24,-1
24.25,-1
24.5,-1
24.75,-1
25,-1
25.25,-1
25.5,-1
25.75,-1
26,-1
26.25,-1
26.5,-1
26.75,-1
27,-1
27.25,-1
27.5,0
27.75,0
28,0
28.25,0
28.5,0
28.75,0
29,0
29.25,0
29.5,0
29.75,0
30,0
30.25,0
30.5,0
30.75,0
31,0
31.25,0
31.5,0
31.75,0
32,0
32.25,0
32.5,0
32.75,0
33,0
33.25,0
33.5,0
33.75,0
34,0
34.25,0
34.5,0
34.75,0
35,0
35.25,0
35.5,0
35.75,0
36,0
36.25,0
36.5,0
36.75,0
37,0
37.25,0
37.5,0
37.75,0
38,0
38.25,0
38.5,0
38.75,0
39,0
39.25,0
39.5,0
39.75,0
40,0
40.25,0
40.5,0
40.75,0
41,0
41.25,0
41.5,0
41.75,0
42,0
42.25,0
42.5,0
42.75,0
43,0
43.25,0
43.5,0
43.75,0
44,0
44.25,0
44.5,0
44.75,0
45,0
45.25,0
45.5,0
45.75,0
46,0
46.25,0
46.5,0
46.75,0
47,0
47.25,0
47.5,0
47.75,0
48,0
48.25,0
48.5,0
48.75,0
49,0
49.25,0
49.5,0
49.75,0
50,0
50.25,0
50.5,0
50.75,0
51,0
51.25,0
51.5,0
51.75,0
52,1
52.25,1
52.5,1
52.75,1
53,1
53.25,1
53.5,1
53.75,1
54,1
54.25,1
54.5,1
54.75,1
55,1
55.25,1
55.5,1
55.75,1
56,0
56.25,0
56.5,0
56.75,0
57,0
57.25,0
57.5,0
57.75,0
58,0
58.25,0
58.5,0
58.75,0
59,0
59.25,0
59.5,0
59.75,0
60,0
60.25,0
60.5,0
60.75,0
61,0
61.25,0
61.5,0
61.75,0
62,0
62.25,0
62.5,0
62.75,0
63,0
63.25,0
63.5,0
63.75,0
64,0
64.25,0
64.5,0
64.75,0
65,0
65.25,0
65.5,0
65.75,0
66,0
66.25,0
66.5,0
66.75,0
67,0
67.25,0
67.5,0
67.75,0
68,0
68.25,0
68.5,0
68.75,0
69,0
69.25,0
69.5,0
69.75,0
70,0
70.25,0
70.5,0
70.75,0
71,0
71.25,0
71.5,0
71.75,0
72,0
72.25,0
72.5,0
72.75,0
73,0
73.25,0
73.5,1
73.75,1
74,1
74.25,1
74.5,1
74.75,1
75,1
75.25,1
75.5,1
75.75,1
76,1
76.25,1
76.5,1
76.75,1
77,1
77.25,1
77.5,1
77.75,1
78,1
78.25,1
78.5,1
78.75,1
79,1
79.25,1
79.5,1
79.75,1
80,1
80.25,1
80.5,1
80.75,1
81,1
81.25,1
81.5,1
81.75,1
82,2
82.25,2
82.5,2
82.75,2
83,2
83.25,2
83.5,2
83.75,1
84,1
84.25,1
84.5,1
84.75,1
85,1
85.25,1
85.5,1
85.75,1
86,1
86.25,1
86.5,1
86.75,1
87,1
87.25,1
87.5,1
87.75,1
88,1
88.25,1
88.5,1
88.75,1
89,1
89.25,1
89.5,1
89.75,1
90,1
90.25,1
90.5,1
90.75,1
91,1
91.25,1
91.5,1
